GGG-Tb_(1%)-IIA-02-Abs-Scan_190-3300_2x5mm_Vozduh-15-11-17-Step_0_2-SBW_0_5,,
Wavenumber (cm-1),%T,
3030.3,80.9376417290,
3030.3,80.9376417290,
3030.5,80.8342273949,
3030.5,80.8342273949,
3030.7,80.8125192061,
3030.7,80.8125192061,
3030.9,80.3501546172,
3030.9,80.3501546172,
3031.0,80.9088764283,
3031.0,80.9088764283,
3031.2,80.3728871725,
3031.2,80.3728871725,
3031.4,81.0512965479,
3031.4,81.0512965479,
3031.6,80.6101622407,
3031.6,80.6101622407,
3031.8,81.4007405692,
3031.8,81.4007405692,
3032.0,81.1366851888,
3032.0,81.1366851888,
3032.1,80.8460240307,
3032.1,80.8460240307,
3032.3,81.3030959802,
3032.3,81.3030959802,
3032.5,80.9492048741,
3032.5,80.9492048741,
3032.7,80.2073125418,
3032.7,80.2073125418,
3032.9,80.7023101186,
3032.9,80.7023101186,
3033.1,81.4725931368,
3033.1,81.4725931368,
3033.2,80.5713351833,
3033.2,80.5713351833,
3033.4,81.6111806934,
3033.4,81.6111806934,
3033.6,80.7896137962,
3033.6,80.7896137962,
3033.8,81.1825099231,
3033.8,81.1825099231,
3034.0,79.5785903950,
3034.0,79.5785903950,
3034.2,81.1546140704,
3034.2,81.1546140704,
3034.3,81.0496919461,
3034.3,81.0496919461,
3034.5,81.0240031762,
3034.5,81.0240031762,
3034.7,81.3578422912,
3034.7,81.3578422912,
3034.9,80.7021024439,
3034.9,80.7021024439,
3035.1,80.8673735776,
3035.1,80.8673735776,
3035.3,81.1335617178,
3035.3,81.1335617178,
3035.5,80.7442490949,
3035.5,80.7442490949,
3035.6,80.4704071724,
3035.6,80.4704071724,
3035.8,81.0450854978,
3035.8,81.0450854978,
3036.0,80.3947931059,
3036.0,80.3947931059,
3036.2,80.5212373177,
3036.2,80.5212373177,
3036.4,80.5506054935,
3036.4,80.5506054935,
3036.6,81.2955741555,
3036.6,81.2955741555,
3036.7,80.0230628694,
3036.7,80.0230628694,
3036.9,81.0113550272,
3036.9,81.0113550272,
3037.1,80.8845643975,
3037.1,80.8845643975,
3037.3,80.8977964648,
3037.3,80.8977964648,
3037.5,81.1510082070,
3037.5,81.1510082070,
3037.7,80.5614831127,
3037.7,80.5614831127,
3037.9,81.2807738280,
3037.9,81.2807738280,
3038.0,80.1718057332,
3038.0,80.1718057332,
3038.2,81.0582812471,
3038.2,81.0582812471,
3038.4,79.9685603381,
3038.4,79.9685603381,
3038.6,81.0221614289,
3038.6,81.0221614289,
3038.8,80.8341982733,
3038.8,80.8341982733,
3039.0,81.1504485476,
3039.0,81.1504485476,
3039.1,81.4473334301,
3039.1,81.4473334301,
3039.3,80.8781621587,
3039.3,80.8781621587,
3039.5,80.9248446280,
3039.5,80.9248446280,
3039.7,80.9040670131,
3039.7,80.9040670131,
3039.9,80.0675745879,
3039.9,80.0675745879,
3040.1,80.7739133959,
3040.1,80.7739133959,
3040.3,80.6816809934,
3040.3,80.6816809934,
3040.4,81.2392711455,
3040.4,81.2392711455,
3040.6,80.5750549015,
3040.6,80.5750549015,
3040.8,80.8255009901,
3040.8,80.8255009901,
3041.0,81.6949839807,
3041.0,81.6949839807,
3041.2,80.9669673131,
3041.2,80.9669673131,
3041.4,81.1032950486,
3041.4,81.1032950486,
3041.5,80.5423795001,
3041.5,80.5423795001,
3041.7,80.6122656837,
3041.7,80.6122656837,
3041.9,81.1512114685,
3041.9,81.1512114685,
3042.1,81.5039749923,
3042.1,81.5039749923,
3042.3,80.8055695474,
3042.3,80.8055695474,
3042.5,81.7396460044,
3042.5,81.7396460044,
3042.7,80.1441664325,
3042.7,80.1441664325,
3042.8,80.9724152983,
3042.8,80.9724152983,
3043.0,80.9937231878,
3043.0,80.9937231878,
3043.2,80.7318869916,
3043.2,80.7318869916,
3043.4,80.8716896690,
3043.4,80.8716896690,
3043.6,79.9685836606,
3043.6,79.9685836606,
3043.8,80.3572718930,
3043.8,80.3572718930,
3044.0,81.5607007225,
3044.0,81.5607007225,
3044.1,81.4798769346,
3044.1,81.4798769346,
3044.3,81.1034147070,
3044.3,81.1034147070,
3044.5,81.0828026795,
3044.5,81.0828026795,
3044.7,80.7999248633,
3044.7,80.7999248633,
3044.9,80.4634993570,
3044.9,80.4634993570,
3045.1,81.1775797925,
3045.1,81.1775797925,
3045.3,80.7596915705,
3045.3,80.7596915705,
3045.4,80.6106863673,
3045.4,80.6106863673,
3045.6,81.1517112673,
3045.6,81.1517112673,
3045.8,80.8443957544,
3045.8,80.8443957544,
3046.0,80.9187945821,
3046.0,80.9187945821,
3046.2,80.9482938713,
3046.2,80.9482938713,
3046.4,80.3985888109,
3046.4,80.3985888109,
3046.6,81.7195774583,
3046.6,81.7195774583,
3046.7,81.1565576827,
3046.7,81.1565576827,
3046.9,81.7742703235,
3046.9,81.7742703235,
3047.1,81.0563441599,
3047.1,81.0563441599,
3047.3,80.4761227183,
3047.3,80.4761227183,
3047.5,80.5868869879,
3047.5,80.5868869879,
3047.7,80.2624583483,
3047.7,80.2624583483,
3047.9,80.8276710636,
3047.9,80.8276710636,
3048.0,79.9388640387,
3048.0,79.9388640387,
3048.2,81.4726769986,
3048.2,81.4726769986,
3048.4,80.7504647979,
3048.4,80.7504647979,
3048.6,81.2040806720,
3048.6,81.2040806720,
3048.8,81.1417701347,
3048.8,81.1417701347,
3049.0,80.8707712149,
3049.0,80.8707712149,
3049.2,81.1317202618,
3049.2,81.1317202618,
3049.3,81.2410648682,
3049.3,81.2410648682,
3049.5,81.1457152579,
3049.5,81.1457152579,
3049.7,80.8193807275,
3049.7,80.8193807275,
3049.9,80.8313124794,
3049.9,80.8313124794,
3050.1,80.6807453173,
3050.1,80.6807453173,
3050.3,81.5800248742,
3050.3,81.5800248742,
3050.5,81.2635475920,
3050.5,81.2635475920,
3050.6,81.6900787869,
3050.6,81.6900787869,
3050.8,81.4021887296,
3050.8,81.4021887296,
3051.0,81.6221651254,
3051.0,81.6221651254,
3051.2,80.8014399614,
3051.2,80.8014399614,
3051.4,81.2679475678,
3051.4,81.2679475678,
3051.6,80.8048847354,
3051.6,80.8048847354,
3051.8,81.0780469077,
3051.8,81.0780469077,
3051.9,80.9088764283,
3051.9,80.9088764283,
3052.1,81.3253349703,
3052.1,81.3253349703,
3052.3,81.1610938870,
3052.3,81.1610938870,
3052.5,81.2914850746,
3052.5,81.2914850746,
3052.7,81.2025970290,
3052.7,81.2025970290,
3052.9,81.0349586262,
3052.9,81.0349586262,
3053.1,81.5198662462,
3053.1,81.5198662462,
3053.2,81.0862956140,
3053.2,81.0862956140,
3053.4,81.1471171188,
3053.4,81.1471171188,
3053.6,80.9644281943,
3053.6,80.9644281943,
3053.8,81.4802473612,
3053.8,81.4802473612,
3054.0,81.1086353234,
3054.0,81.1086353234,
3054.2,80.7510494051,
3054.2,80.7510494051,
3054.4,81.3203222278,
3054.4,81.3203222278,
3054.6,81.1181062001,
3054.6,81.1181062001,
3054.7,81.2121861582,
3054.7,81.2121861582,
3054.9,81.5569341033,
3054.9,81.5569341033,
3055.1,80.8824066732,
3055.1,80.8824066732,
3055.3,81.2048134472,
3055.3,81.2048134472,
3055.5,81.3308600891,
3055.5,81.3308600891,
3055.7,80.6902949703,
3055.7,80.6902949703,
3055.9,80.9667353456,
3055.9,80.9667353456,
3056.0,81.0104127503,
3056.0,81.0104127503,
3056.2,80.7202164102,
3056.2,80.7202164102,
3056.4,81.1280068561,
3056.4,81.1280068561,
3056.6,81.2096240235,
3056.6,81.2096240235,
3056.8,81.1446363852,
3056.8,81.1446363852,
3057.0,80.8649541143,
3057.0,80.8649541143,
3057.2,80.7948890614,
3057.2,80.7948890614,
3057.4,81.0137455154,
3057.4,81.0137455154,
3057.5,80.9686661226,
3057.5,80.9686661226,
3057.7,81.4345535335,
3057.7,81.4345535335,
3057.9,81.4240273806,
3057.9,81.4240273806,
3058.1,80.6161587852,
3058.1,80.6161587852,
3058.3,81.0730396704,
3058.3,81.0730396704,
3058.5,81.0397563581,
3058.5,81.0397563581,
3058.7,80.7956514116,
3058.7,80.7956514116,
3058.9,80.9941469856,
3058.9,80.9941469856,
3059.0,81.0955579792,
3059.0,81.0955579792,
3059.2,81.3484313445,
3059.2,81.3484313445,
3059.4,80.8777930819,
3059.4,80.8777930819,
3059.6,80.6558667175,
3059.6,80.6558667175,
3059.8,80.9727973100,
3059.8,80.9727973100,
3060.0,80.6027529209,
3060.0,80.6027529209,
3060.2,80.3823410881,
3060.2,80.3823410881,
3060.4,82.1844037057,
3060.4,82.1844037057,
3060.5,81.2140823846,
3060.5,81.2140823846,
3060.7,80.8263010688,
3060.7,80.8263010688,
3060.9,80.7319396213,
3060.9,80.7319396213,
3061.1,81.3072679438,
3061.1,81.3072679438,
3061.3,80.8630771367,
3061.3,80.8630771367,
3061.5,80.7584709716,
3061.5,80.7584709716,
3061.7,80.9293095693,
3061.7,80.9293095693,
3061.8,81.3107008011,
3061.8,81.3107008011,
3062.0,81.8848616175,
3062.0,81.8848616175,
3062.2,80.8294113244,
3062.2,80.8294113244,
3062.4,81.0913203646,
3062.4,81.0913203646,
3062.6,80.9114929270,
3062.6,80.9114929270,
3062.8,81.2768514176,
3062.8,81.2768514176,
3063.0,80.5932993519,
3063.0,80.5932993519,
3063.2,81.0788453119,
3063.2,81.0788453119,
3063.4,81.1069488817,
3063.4,81.1069488817,
3063.5,81.3258651440,
3063.5,81.3258651440,
3063.7,81.3001516034,
3063.7,81.3001516034,
3063.9,80.4959894719,
3063.9,80.4959894719,
3064.1,80.6771037647,
3064.1,80.6771037647,
3064.3,80.8519715414,
3064.3,80.8519715414,
3064.5,80.6971973349,
3064.5,80.6971973349,
3064.7,80.7341639688,
3064.7,80.7341639688,
3064.9,81.5727349225,
3064.9,81.5727349225,
3065.0,81.2173845147,
3065.0,81.2173845147,
3065.2,80.9087154172,
3065.2,80.9087154172,
3065.4,81.1879751951,
3065.4,81.1879751951,
3065.6,81.1919922117,
3065.6,81.1919922117,
3065.8,81.1377110615,
3065.8,81.1377110615,
3066.0,81.3818637693,
3066.0,81.3818637693,
3066.2,80.9916848238,
3066.2,80.9916848238,
3066.4,80.8671835138,
3066.4,80.8671835138,
3066.5,80.9362226608,
3066.5,80.9362226608,
3066.7,81.7689830156,
3066.7,81.7689830156,
3066.9,81.1728184636,
3066.9,81.1728184636,
3067.1,81.2761542442,
3067.1,81.2761542442,
3067.3,81.1388608335,
3067.3,81.1388608335,
3067.5,80.8457313828,
3067.5,80.8457313828,
3067.7,80.7873006052,
3067.7,80.7873006052,
3067.9,80.5867307629,
3067.9,80.5867307629,
3068.0,80.8527413650,
3068.0,80.8527413650,
3068.2,81.0955885860,
3068.2,81.0955885860,
3068.4,81.2130095687,
3068.4,81.2130095687,
3068.6,81.4024205502,
3068.6,81.4024205502,
3068.8,81.1231370968,
3068.8,81.1231370968,
3069.0,80.4180211567,
3069.0,80.4180211567,
3069.2,81.2428056657,
3069.2,81.2428056657,
3069.4,81.1046182570,
3069.4,81.1046182570,
3069.6,80.9816841036,
3069.6,80.9816841036,
