IOH-SAI-02-Abs-Scan_200-790_DRA-Et-05-11-20,,
Energy (eV),%T,
1.5694,37.4491309542,
1.5694,37.4491309542,
1.5714,37.6126311002,
1.5714,37.6126311002,
1.5734,37.5734966685,
1.5734,37.5734966685,
1.5754,37.4003459064,
1.5754,37.4003459064,
1.5774,37.5404898200,
1.5774,37.5404898200,
1.5794,37.7792871374,
1.5794,37.7792871374,
1.5814,37.5266792214,
1.5814,37.5266792214,
1.5835,37.5512002735,
1.5835,37.5512002735,
1.5855,37.6835585378,
1.5855,37.6835585378,
1.5875,37.4100280042,
1.5875,37.4100280042,
1.5895,37.3290216479,
1.5895,37.3290216479,
1.5916,37.5080293179,
1.5916,37.5080293179,
1.5936,37.3164411581,
1.5936,37.3164411581,
1.5957,37.5185580071,
1.5957,37.5185580071,
1.5977,37.4520761112,
1.5977,37.4520761112,
1.5998,37.5126471644,
1.5998,37.5126471644,
1.6019,37.3974715360,
1.6019,37.3974715360,
1.6039,37.5479638786,
1.6039,37.5479638786,
1.6060,37.4120715194,
1.6060,37.4120715194,
1.6081,37.4753654442,
1.6081,37.4753654442,
1.6102,37.4614425503,
1.6102,37.4614425503,
1.6123,37.5342973419,
1.6123,37.5342973419,
1.6144,37.3803402523,
1.6144,37.3803402523,
1.6165,37.4201285926,
1.6165,37.4201285926,
1.6186,37.4203442937,
1.6186,37.4203442937,
1.6207,37.4883082084,
1.6207,37.4883082084,
1.6228,37.4808383090,
1.6228,37.4808383090,
1.6250,37.2252903457,
1.6250,37.2252903457,
1.6271,37.3482694006,
1.6271,37.3482694006,
1.6292,37.2929818836,
1.6292,37.2929818836,
1.6314,37.3430747090,
1.6314,37.3430747090,
1.6335,37.3422931338,
1.6335,37.3422931338,
1.6357,37.4169599951,
1.6357,37.4169599951,
1.6378,37.2218751522,
1.6378,37.2218751522,
1.6400,37.2672024120,
1.6400,37.2672024120,
1.6422,37.3000534464,
1.6422,37.3000534464,
1.6444,37.3607657592,
1.6444,37.3607657592,
1.6465,37.3282378054,
1.6465,37.3282378054,
1.6487,37.2468692491,
1.6487,37.2468692491,
1.6509,37.3823411047,
1.6509,37.3823411047,
1.6531,37.3372120085,
1.6531,37.3372120085,
1.6553,37.2911035275,
1.6553,37.2911035275,
1.6575,37.3146153977,
1.6575,37.3146153977,
1.6598,37.1944806421,
1.6598,37.1944806421,
1.6620,37.2884217902,
1.6620,37.2884217902,
1.6642,37.2116697517,
1.6642,37.2116697517,
1.6665,37.1477913194,
1.6665,37.1477913194,
1.6687,37.2733124604,
1.6687,37.2733124604,
1.6709,37.1214549880,
1.6709,37.1214549880,
1.6732,37.0988718472,
1.6732,37.0988718472,
1.6755,37.1409117526,
1.6755,37.1409117526,
1.6777,37.1043559335,
1.6777,37.1043559335,
1.6800,37.1119851045,
1.6800,37.1119851045,
1.6823,37.0452728718,
1.6823,37.0452728718,
1.6846,37.0560352893,
1.6846,37.0560352893,
1.6869,37.0362290567,
1.6869,37.0362290567,
1.6892,37.0618233225,
1.6892,37.0618233225,
1.6915,36.9898627603,
1.6915,36.9898627603,
1.6938,36.9724716583,
1.6938,36.9724716583,
1.6961,36.9547970974,
1.6961,36.9547970974,
1.6984,36.9417191111,
1.6984,36.9417191111,
1.7007,36.8666445660,
1.7007,36.8666445660,
1.7031,36.8684838335,
1.7031,36.8684838335,
1.7054,36.8371301923,
1.7054,36.8371301923,
1.7078,36.8798351735,
1.7078,36.8798351735,
1.7101,36.7928082515,
1.7101,36.7928082515,
1.7125,36.8141162433,
1.7125,36.8141162433,
1.7149,36.7712173598,
1.7149,36.7712173598,
1.7172,36.7999970874,
1.7172,36.7999970874,
1.7196,36.7194801399,
1.7196,36.7194801399,
1.7220,36.6832610833,
1.7220,36.6832610833,
1.7244,36.6354762494,
1.7244,36.6354762494,
1.7268,36.5839978037,
1.7268,36.5839978037,
1.7292,36.5955402995,
1.7292,36.5955402995,
1.7316,36.6909622899,
1.7316,36.6909622899,
1.7340,36.6010002190,
1.7340,36.6010002190,
1.7365,36.6062423995,
1.7365,36.6062423995,
1.7389,36.4894299143,
1.7389,36.4894299143,
1.7414,36.5229988323,
1.7414,36.5229988323,
1.7438,36.4590766361,
1.7438,36.4590766361,
