Baseline 100%T,,
Wavelength (nm),%T,
3000.0,112.5838999178,
3000.0,112.5838999178,
2999.5,112.5341656029,
2999.5,112.5341656029,
2999.0,112.5178339916,
2999.0,112.5178339916,
2998.5,112.4488706620,
2998.5,112.4488706620,
2998.0,112.4338630544,
2998.0,112.4338630544,
2997.5,112.4871732558,
2997.5,112.4871732558,
2997.0,112.4961133390,
2997.0,112.4961133390,
2996.5,112.5185607549,
2996.5,112.5185607549,
2996.0,112.5552534894,
2996.0,112.5552534894,
2995.5,112.4780177658,
2995.5,112.4780177658,
2995.0,112.5008697699,
2995.0,112.5008697699,
2994.5,112.4407888726,
2994.5,112.4407888726,
2994.0,112.4165537428,
2994.0,112.4165537428,
2993.5,112.5022526370,
2993.5,112.5022526370,
2993.0,112.4958161288,
2993.0,112.4958161288,
2992.5,112.4989156429,
2992.5,112.4989156429,
2992.0,112.4916909722,
2992.0,112.4916909722,
2991.5,112.4282598261,
2991.5,112.4282598261,
2991.0,112.4231457972,
2991.0,112.4231457972,
2990.5,112.4286648688,
2990.5,112.4286648688,
2990.0,112.4419809943,
2990.0,112.4419809943,
2989.5,112.5255699763,
2989.5,112.5255699763,
2989.0,112.5228519445,
2989.0,112.5228519445,
2988.5,112.4948617817,
2988.5,112.4948617817,
2988.0,112.4977943260,
2988.0,112.4977943260,
2987.5,112.4051217440,
2987.5,112.4051217440,
2987.0,112.4247794083,
2987.0,112.4247794083,
2986.5,112.4664897986,
2986.5,112.4664897986,
2986.0,112.4705908764,
2986.0,112.4705908764,
2985.5,112.6224871186,
2985.5,112.6224871186,
2985.0,112.6225943513,
2985.0,112.6225943513,
2984.5,112.5602962843,
2984.5,112.5602962843,
2984.0,112.5307793974,
2984.0,112.5307793974,
2983.5,112.5047443505,
2983.5,112.5047443505,
2983.0,112.4891165669,
2983.0,112.4891165669,
2982.5,112.5310544992,
2982.5,112.5310544992,
2982.0,112.5425939121,
2982.0,112.5425939121,
2981.5,112.6299385330,
2981.5,112.6299385330,
2981.0,112.5898595440,
2981.0,112.5898595440,
2980.5,112.5175714694,
2980.5,112.5175714694,
2980.0,112.5256780805,
2980.0,112.5256780805,
2979.5,112.5008697699,
2979.5,112.5008697699,
2979.0,112.4741672612,
2979.0,112.4741672612,
2978.5,112.5946759591,
2978.5,112.5946759591,
2978.0,112.5698688519,
2978.0,112.5698688519,
2977.5,112.5816469091,
2977.5,112.5816469091,
2977.0,112.5051622147,
2977.0,112.5051622147,
2976.5,112.4041913048,
2976.5,112.4041913048,
2976.0,112.4398349923,
2976.0,112.4398349923,
2975.5,112.4686237675,
2975.5,112.4686237675,
2975.0,112.4800438930,
2975.0,112.4800438930,
2974.5,112.5558617403,
2974.5,112.5558617403,
2974.0,112.5657911905,
2974.0,112.5657911905,
2973.5,112.5164509329,
2973.5,112.5164509329,
2973.0,112.4723081453,
2973.0,112.4723081453,
2972.5,112.4024152997,
2972.5,112.4024152997,
2972.0,112.4362114776,
2972.0,112.4362114776,
2971.5,112.4693270610,
2971.5,112.4693270610,
2971.0,112.4973176261,
2971.0,112.4973176261,
2970.5,112.5306606699,
2970.5,112.5306606699,
2970.0,112.4959232409,
2970.0,112.4959232409,
2969.5,112.4312523569,
2969.5,112.4312523569,
2969.0,112.4258517777,
2969.0,112.4258517777,
2968.5,112.3988624057,
2968.5,112.3988624057,
2968.0,112.3997330235,
2968.0,112.3997330235,
2967.5,112.4829056181,
2967.5,112.4829056181,
2967.0,112.4752758000,
2967.0,112.4752758000,
2966.5,112.5103475306,
2966.5,112.5103475306,
2966.0,112.4511952846,
2966.0,112.4511952846,
2965.5,112.3988267342,
2965.5,112.3988267342,
2965.0,112.3914600228,
2965.0,112.3914600228,
2964.5,112.4059200948,
2964.5,112.4059200948,
2964.0,112.4327298480,
2964.0,112.4327298480,
2963.5,112.5072361191,
2963.5,112.5072361191,
2963.0,112.4676223793,
2963.0,112.4676223793,
2962.5,112.4631760526,
2962.5,112.4631760526,
2962.0,112.4282482543,
2962.0,112.4282482543,
2961.5,112.3741986911,
2961.5,112.3741986911,
2961.0,112.4295588611,
2961.0,112.4295588611,
2960.5,112.4397636207,
2960.5,112.4397636207,
2960.0,112.4761942824,
2960.0,112.4761942824,
2959.5,112.5488873203,
2959.5,112.5488873203,
2959.0,112.4832983168,
2959.0,112.4832983168,
2958.5,112.4632117445,
2958.5,112.4632117445,
2958.0,112.4028925628,
2958.0,112.4028925628,
2957.5,112.3940225555,
2957.5,112.3940225555,
2957.0,112.4552726530,
2957.0,112.4552726530,
2956.5,112.5059004785,
2956.5,112.5059004785,
2956.0,112.5119920565,
2956.0,112.5119920565,
2955.5,112.5131250980,
2955.5,112.5131250980,
2955.0,112.4472376692,
2955.0,112.4472376692,
2954.5,112.4215720014,
2954.5,112.4215720014,
2954.0,112.3991612879,
2954.0,112.3991612879,
2953.5,112.4211071955,
2953.5,112.4211071955,
2953.0,112.5024909985,
2953.0,112.5024909985,
2952.5,112.5179411220,
2952.5,112.5179411220,
2952.0,112.4966141575,
2952.0,112.4966141575,
2951.5,112.4886389377,
2951.5,112.4886389377,
2951.0,112.4442215609,
2951.0,112.4442215609,
2950.5,112.4015687645,
2950.5,112.4015687645,
2950.0,112.4572636436,
2950.0,112.4572636436,
2949.5,112.4929666198,
2949.5,112.4929666198,
2949.0,112.5627274883,
2949.0,112.5627274883,
2948.5,112.5723601318,
2948.5,112.5723601318,
2948.0,112.4852415584,
2948.0,112.4852415584,
2947.5,112.4503136600,
2947.5,112.4503136600,
2947.0,112.4191997769,
2947.0,112.4191997769,
2946.5,112.4389409182,
2946.5,112.4389409182,
2946.0,112.5166651938,
2946.0,112.5166651938,
2945.5,112.5290747508,
2945.5,112.5290747508,
2945.0,112.5661494156,
2945.0,112.5661494156,
2944.5,112.5581856797,
2944.5,112.5581856797,
2944.0,112.4544382626,
2944.0,112.4544382626,
2943.5,112.4408361331,
2943.5,112.4408361331,
2943.0,112.4467727572,
2943.0,112.4467727572,
2942.5,112.4781846800,
2942.5,112.4781846800,
2942.0,112.5501993335,
2942.0,112.5501993335,
2941.5,112.5284193473,
2941.5,112.5284193473,
2941.0,112.5005841289,
2941.0,112.5005841289,
2940.5,112.4641542477,
2940.5,112.4641542477,
2940.0,112.3888850181,
2940.0,112.3888850181,
2939.5,112.4115704208,
2939.5,112.4115704208,
2939.0,112.4526740010,
2939.0,112.4526740010,
2938.5,112.4712227880,
2938.5,112.4712227880,
2938.0,112.5118019316,
2938.0,112.5118019316,
2937.5,112.4813319518,
2937.5,112.4813319518,
2937.0,112.4260542946,
2937.0,112.4260542946,
2936.5,112.4295357174,
2936.5,112.4295357174,
2936.0,112.3955014828,
2936.0,112.3955014828,
2935.5,112.4585032078,
2935.5,112.4585032078,
2935.0,112.5350353357,
2935.0,112.5350353357,
2934.5,112.5227216439,
2934.5,112.5227216439,
2934.0,112.5408408175,
2934.0,112.5408408175,
2933.5,112.4876856149,
2933.5,112.4876856149,
2933.0,112.4156714243,
2933.0,112.4156714243,
2932.5,112.4586585155,
2932.5,112.4586585155,
2932.0,112.4617222802,
2932.0,112.4617222802,
2931.5,112.5179169937,
2931.5,112.5179169937,
2931.0,112.5670908505,
2931.0,112.5670908505,
2930.5,112.5358104770,
2930.5,112.5358104770,
2930.0,112.5270004438,
2930.0,112.5270004438,
2929.5,112.4585745913,
2929.5,112.4585745913,
2929.0,112.4261979860,
2929.0,112.4261979860,
2928.5,112.4799850390,
2928.5,112.4799850390,
2928.0,112.4961500076,
2928.0,112.4961500076,
2927.5,112.5586269127,
2927.5,112.5586269127,
2927.0,112.5722529470,
2927.0,112.5722529470,
2926.5,112.4986049165,
2926.5,112.4986049165,
