IOH-SAI-02-F(R)-Scan_200-790_DRA-Et-09-11-20,,
Wavenumber (cm-1),Abs,
12658.2,0.2793431020,
12658.2,0.2793431020,
12674.3,0.2778130873,
12674.3,0.2778130873,
12690.4,0.2793567968,
12690.4,0.2793567968,
12706.5,0.2792446596,
12706.5,0.2792446596,
12722.6,0.2787575660,
12722.6,0.2787575660,
12738.9,0.2785791156,
12738.9,0.2785791156,
12755.1,0.2781300461,
12755.1,0.2781300461,
12771.4,0.2790784659,
12771.4,0.2790784659,
12787.7,0.2788285973,
12787.7,0.2788285973,
12804.1,0.2796620197,
12804.1,0.2796620197,
12820.5,0.2784421244,
12820.5,0.2784421244,
12837.0,0.2801173195,
12837.0,0.2801173195,
12853.5,0.2800469682,
12853.5,0.2800469682,
12870.0,0.2792738176,
12870.0,0.2792738176,
12886.6,0.2784949116,
12886.6,0.2784949116,
12903.2,0.2800877645,
12903.2,0.2800877645,
12919.9,0.2790564651,
12919.9,0.2790564651,
12936.6,0.2777313828,
12936.6,0.2777313828,
12953.4,0.2783113054,
12953.4,0.2783113054,
12970.2,0.2821678501,
12970.2,0.2821678501,
12987.0,0.2805873623,
12987.0,0.2805873623,
13003.9,0.2801480046,
13003.9,0.2801480046,
13020.8,0.2804677085,
13020.8,0.2804677085,
13037.8,0.2816552334,
13037.8,0.2816552334,
13054.8,0.2802858859,
13054.8,0.2802858859,
13071.9,0.2800586090,
13071.9,0.2800586090,
13089.0,0.2810566901,
13089.0,0.2810566901,
13106.2,0.2807123985,
13106.2,0.2807123985,
13123.4,0.2805895413,
13123.4,0.2805895413,
13140.6,0.2808262439,
13140.6,0.2808262439,
13157.9,0.2799093098,
13157.9,0.2799093098,
13175.2,0.2812251863,
13175.2,0.2812251863,
13192.6,0.2825805797,
13192.6,0.2825805797,
13210.0,0.2806000155,
13210.0,0.2806000155,
13227.5,0.2813206604,
13227.5,0.2813206604,
13245.0,0.2800395637,
13245.0,0.2800395637,
13262.6,0.2808882658,
13262.6,0.2808882658,
13280.2,0.2816398402,
13280.2,0.2816398402,
13297.9,0.2809371979,
13297.9,0.2809371979,
13315.6,0.2815143961,
13315.6,0.2815143961,
13333.3,0.2809798082,
13333.3,0.2809798082,
13351.1,0.2815897336,
13351.1,0.2815897336,
13369.0,0.2829792040,
13369.0,0.2829792040,
13386.9,0.2830876810,
13386.9,0.2830876810,
13404.8,0.2826120929,
13404.8,0.2826120929,
13422.8,0.2818476842,
13422.8,0.2818476842,
13440.9,0.2836824170,
13440.9,0.2836824170,
13459.0,0.2831219071,
13459.0,0.2831219071,
13477.1,0.2834275019,
13477.1,0.2834275019,
13495.3,0.2832415086,
13495.3,0.2832415086,
13513.5,0.2827346286,
13513.5,0.2827346286,
13531.8,0.2826136327,
13531.8,0.2826136327,
13550.1,0.2830953838,
13550.1,0.2830953838,
13568.5,0.2853400432,
13568.5,0.2853400432,
13587.0,0.2839635698,
13587.0,0.2839635698,
13605.4,0.2845930545,
13605.4,0.2845930545,
13624.0,0.2845802991,
13624.0,0.2845802991,
13642.6,0.2849681877,
13642.6,0.2849681877,
13661.2,0.2852258036,
13661.2,0.2852258036,
13679.9,0.2853691546,
