Ftorid-DK-68-CeF3-N5-l_10-T-Scan_200-3300_2x5mm-11-12-17-Step_0_5-SBW_1_0,,
Wavelength (nm),%T,
3300,0.1526753157,
3299.5,1.036556482,
3299,0.6434797049,
3298.5,0.08839728683,
3298,0.7296581864,
3297.5,0.1870333403,
3297,0.545157373,
3296.5,0.2055161446,
3296,0.5165809393,
3295.5,0.4889369607,
3295,0.4055962563,
3294.5,0.8122501969,
3294,0.2170865387,
3293.5,1.417750955,
3293,0.2533225715,
3292.5,0.6854854822,
3292,0.5044965744,
3291.5,0.3929442763,
3291,0.5816090703,
3290.5,0.759791255,
3290,0.4587923586,
3289.5,0.6932867169,
3289,0.2742387354,
3288.5,0.5956402421,
3288,0.3594700694,
3287.5,0.8930092454,
3287,0.4310441613,
3286.5,0.6986384988,
3286,0.2890744209,
3285.5,0.4022717476,
3285,0.4443736672,
3284.5,1.071582675,
3284,0.7144792676,
3283.5,0.5627987385,
3283,0.7047888637,
3282.5,0.2140042633,
3282,0.4323647916,
3281.5,0.073396869,
3281,0.7332166433,
3280.5,0.5842303038,
3280,0.4289057255,
3279.5,0.6215432882,
3279,0.6598287225,
3278.5,0.7081727982,
3278,0.5611181259,
3277.5,0.2834899426,
3277,0.009968057275,
3276.5,0.5332738161,
3276,0.3277819157,
3275.5,0.0802526921,
3275,0.963319838,
3274.5,0.3944461644,
3274,0.2955368161,
3273.5,0.238131851,
3273,0.3502837121,
3272.5,0.5869765878,
3272,0.4158506989,
3271.5,0.3241120279,
3271,0.07212357968,
3270.5,0.4035912454,
3270,0.1343072206,
3269.5,0.5678986907,
3269,0.2949159145,
3268.5,0.639416039,
3268,1.089607596,
3267.5,0.2709388137,
3267,0.1008183435,
3266.5,0.5966598988,
3266,0.2235770673,
3265.5,0.4049639106,
3265,0.384490639,
3264.5,0.436917752,
3264,0.6730921865,
3263.5,0.5509119034,
3263,0.6589885354,
3262.5,0.0447832197,
3262,0.2001469433,
3261.5,0.8284704089,
3261,0.004764039069,
3260.5,0.286480993,
3260,0.6602150798,
3259.5,0.3027172387,
3259,0.3376880586,
3258.5,0.1581466347,
3258,0.2840938866,
3257.5,-0.2326842844,
3257,0.7522580028,
3256.5,0.1551831216,
3256,0.1828847975,
3255.5,0.4025881588,
3255,0.8327035308,
3254.5,0.4505706429,
3254,0.3632507026,
3253.5,0.615907073,
3253,-0.08584091812,
3252.5,0.6499577761,
3252,0.1137965322,
