Ftorid-DK-68-CeF3-N5-l_10-T-Scan_200-3300_2x5mm-11-12-17-Step_0_5-SBW_1_0,,
Wavelength (nm),Abs,
3300.0,2.8162311733,
3299.5,1.9844070282,
3299.0,2.1914651460,
3298.5,3.0535610645,
3298.0,2.1368805406,
3297.5,2.7280809698,
3297.0,2.2634781099,
3296.5,2.6871540559,
3296.0,2.2868616224,
3295.5,2.3107471314,
3295.0,2.3919060622,
3294.5,2.0903101747,
3294.0,2.6633671058,
3293.5,1.8484000515,
3293.0,2.5963261121,
3292.5,2.1640017386,
3292.0,2.2971417783,
3291.5,2.4056690329,
3291.0,2.2353688292,
3290.5,2.1193057094,
3290.0,2.3383838241,
3289.5,2.1590871206,
3289.0,2.5618712024,
3288.5,2.2250159685,
3288.0,2.4443372645,
3287.5,2.0491440448,
3287.0,2.3654782333,
3286.5,2.1557474860,
3286.0,2.5389903357,
3285.5,2.3954804678,
3285.0,2.3522516845,
3284.5,1.9699743165,
3284.0,2.1460103688,
3283.5,2.2496468847,
3283.0,2.1519409668,
3282.5,2.6695775747,
3282.0,2.3641496788,
3281.5,3.1343224660,
3281.0,2.1347676855,
3280.5,2.2334159201,
3280.0,2.3676381563,
3279.5,2.2065286190,
3279.0,2.1805687834,
3278.5,2.1498607590,
3278.0,2.2509457020,
3277.5,2.5474623440,
3277.0,4.0013894753,
3276.5,2.2730497398,
3276.0,2.4844150109,
3275.5,3.0955403901,
3275.0,2.0162294960,
3274.5,2.4040122627,
3274.0,2.5293884098,
3273.5,2.6231825122,
3273.0,2.4555800565,
3272.5,2.2313792207,
3272.0,2.3810625643,
3271.5,2.4893048519,
3271.0,3.1419227263,
3270.5,2.3940582629,
3270.0,2.8719006382,
3269.5,2.2457291326,
3269.0,2.5303017911,
3268.5,2.1942164742,
3268.0,1.9627298778,
3267.5,2.5671287751,
3267.0,2.9964604425,
3266.5,2.2242731499,
3266.0,2.6505727449,
3265.5,2.3925836783,
3265.0,2.4151142293,
3264.5,2.3596003095,
3264.0,2.1719254509,
3263.5,2.2589178438,
3263.0,2.1811221409,
3262.5,3.3488846859,
3262.0,2.6986510382,
3261.5,2.0817229990,
3261.0,4.3220246856,
3260.5,2.5429041866,
3260.0,2.1803145603,
3259.5,2.5189628468,
3259.0,2.4714842967,
3258.5,2.8009400453,
3258.0,2.5465381117,
3257.5,99.0000000000,
3257.0,2.1236331834,
3256.5,2.8091555163,
3256.0,2.7378223942,
3255.5,2.3951390030,
3255.0,2.0795095939,
3254.5,2.3462371083,
3254.0,2.4397935370,
3253.5,2.2104848085,
3253.0,99.0000000000,
3252.5,2.1871148560,
3252.0,2.9438709723,
3251.5,2.3626129463,
3251.0,2.4334300141,
3250.5,2.4269082695,
3250.0,3.4300815192,
3249.5,99.0000000000,
3249.0,2.3605847135,
3248.5,3.1251602303,
3248.0,2.3018512015,
3247.5,2.2459415511,
3247.0,2.7881623477,
3246.5,2.6152065644,
3246.0,2.6081571643,
3245.5,2.2747266878,
3245.0,3.1146855285,
3244.5,2.4764721963,
3244.0,2.2708202767,
3243.5,4.2006875069,
3243.0,2.3165613104,
3242.5,2.5460700193,
3242.0,2.5912438150,
3241.5,4.0520438679,
3241.0,99.0000000000,
3240.5,2.2864599746,
3240.0,2.6491682796,
3239.5,2.3244340343,
3239.0,2.4471979959,
3238.5,2.2593676060,
3238.0,2.5053028360,
3237.5,2.8581125661,
3237.0,2.4026732267,
3236.5,2.7804418856,
3236.0,2.9634355211,
3235.5,2.9324303673,
3235.0,3.2997792347,
3234.5,2.3418237200,
3234.0,2.3667320793,
3233.5,2.3820016595,
3233.0,2.3174543009,
3232.5,2.4722223202,
3232.0,2.5478080053,
3231.5,2.1523193269,
3231.0,2.7292230835,
3230.5,2.4561772094,
3230.0,3.2278395091,
3229.5,2.5083256127,
3229.0,3.0165965159,
3228.5,3.1033619816,
3228.0,99.0000000000,
3227.5,2.5706427429,
3227.0,2.3499560523,
3226.5,2.8606551042,
3226.0,2.5988180484,
3225.5,2.4704027954,
3225.0,2.5365227069,
3224.5,2.4732506757,
3224.0,2.6162612580,
3223.5,2.5451522389,
3223.0,2.5333845351,
3222.5,2.5118722398,
3222.0,2.6206058609,
3221.5,2.5788381759,
3221.0,99.0000000000,
3220.5,2.8393315393,
3220.0,2.5361551701,
3219.5,2.7545481562,
3219.0,2.7199944103,
3218.5,3.1328021925,
3218.0,2.6237461023,
3217.5,3.1293501002,
3217.0,2.5722514832,
3216.5,2.7089919892,
3216.0,2.4119949638,
3215.5,2.6053286382,
3215.0,2.6697916360,
3214.5,2.5562122820,
3214.0,2.4679888009,
3213.5,2.8353927094,
3213.0,2.6205136405,
3212.5,2.6933152944,
3212.0,99.0000000000,
3211.5,3.0657582873,
3211.0,2.6853554511,
3210.5,2.7469355819,
3210.0,2.7194364945,
3209.5,3.1768440052,
3209.0,3.0763051651,
3208.5,2.8823741611,
3208.0,2.8473190630,
3207.5,2.8265038940,
3207.0,3.2491595702,
3206.5,2.4137733626,
3206.0,2.5931562052,
3205.5,2.5898263661,
3205.0,2.5490780945,
3204.5,2.8352546504,
3204.0,2.5465249454,
3203.5,2.9994751814,
3203.0,2.8269362179,
3202.5,2.8698384380,
3202.0,2.5407779803,
3201.5,2.6409402873,
3201.0,2.8259962155,
3200.5,3.3121013015,
3200.0,2.6904972590,
3199.5,2.7375050305,
3199.0,2.4879171797,
3198.5,2.6965307661,
3198.0,2.8975297050,
3197.5,2.4374382771,
3197.0,2.7511693922,
3196.5,2.9466428639,
3196.0,3.2626884006,
3195.5,99.0000000000,
3195.0,3.2907398774,
3194.5,2.9293916686,
3194.0,99.0000000000,
3193.5,2.7405881468,
3193.0,2.8897648342,
3192.5,2.4090596461,
3192.0,3.3655138393,
3191.5,2.7988639455,
3191.0,2.9732935217,
3190.5,2.4857530587,
3190.0,2.8759853330,
3189.5,2.8188253779,
3189.0,3.0675059185,
3188.5,3.2116109006,
3188.0,3.0888413126,
3187.5,4.0377530156,
3187.0,2.8438862047,
3186.5,99.0000000000,
3186.0,3.1901854364,
3185.5,2.6883777707,
3185.0,2.8802422455,
3184.5,2.9708695280,
3184.0,2.7121950550,
3183.5,3.1123706958,
3183.0,3.0525520974,
3182.5,2.5742032915,
3182.0,2.6788909498,
3181.5,2.7782533695,
3181.0,2.6705735216,
3180.5,2.9030133713,
3180.0,3.1803554272,
3179.5,99.0000000000,
3179.0,4.2328725977,
3178.5,2.8396268576,
3178.0,3.0969891843,
3177.5,2.9220875446,
3177.0,2.9226882703,
3176.5,99.0000000000,
3176.0,3.6382090003,
3175.5,3.0195810940,
3175.0,2.7380691021,
3174.5,2.7075394757,
3174.0,3.3365820496,
3173.5,99.0000000000,
3173.0,2.7982090820,
3172.5,3.2555199030,
3172.0,3.3707170930,
3171.5,2.8809906728,
3171.0,99.0000000000,
3170.5,4.8626412918,
3170.0,2.9037390186,
3169.5,99.0000000000,
3169.0,3.2733810108,
3168.5,3.2049973931,
3168.0,2.9545010674,
3167.5,3.0179166119,
3167.0,99.0000000000,
3166.5,2.7819539710,
3166.0,3.4785800563,
3165.5,3.5465259363,
3165.0,3.0715671494,
3164.5,2.6804243409,
3164.0,3.0904042635,
3163.5,2.7534760920,
3163.0,2.9923788958,
3162.5,2.9719140578,
3162.0,3.2753036922,
3161.5,2.9021090339,
3161.0,2.7455390054,
3160.5,3.1280115293,
3160.0,2.9020205060,
3159.5,99.0000000000,
3159.0,3.2087296191,
3158.5,3.3641902805,
3158.0,3.1602127706,
3157.5,99.0000000000,
3157.0,99.0000000000,
3156.5,99.0000000000,
3156.0,4.5262605216,
3155.5,3.0319681226,
3155.0,2.9476127020,
3154.5,3.1732916840,
3154.0,99.0000000000,
3153.5,3.5756467213,
3153.0,99.0000000000,
3152.5,99.0000000000,
3152.0,99.0000000000,
3151.5,3.0368186292,
3151.0,2.8657495966,
3150.5,2.9194345087,
3150.0,3.3575408427,
3149.5,3.0524183100,
3149.0,2.7020160110,
3148.5,3.1841062833,
3148.0,2.8262244759,
3147.5,3.1581685874,
3147.0,3.0363710690,
3146.5,3.0408918444,
3146.0,2.9403369652,
3145.5,3.0731105908,
3145.0,2.8043505675,
3144.5,2.8209364233,
3144.0,2.8203558644,
3143.5,3.9410994959,
3143.0,2.7578531278,
3142.5,2.9458899286,
3142.0,2.8802719633,
3141.5,2.8042060331,
3141.0,99.0000000000,
3140.5,2.6955759250,
3140.0,3.1867649959,
3139.5,2.8918743497,
3139.0,3.6106624004,
3138.5,3.4280975224,
3138.0,2.8706664676,
3137.5,2.8310064423,
3137.0,3.3644046529,
3136.5,3.3390463210,
3136.0,3.0993989991,
3135.5,99.0000000000,
3135.0,3.0214647144,
3134.5,2.8018337749,
3134.0,3.3552271644,
3133.5,3.3724369654,
3133.0,3.1792175632,
3132.5,2.8755276813,
3132.0,3.1839175120,
3131.5,3.1992543749,
3131.0,3.1314973664,
3130.5,4.2923196244,
3130.0,2.9206448770,
3129.5,3.3739880661,
3129.0,2.8635888695,
3128.5,2.8008110000,
3128.0,2.9062129408,
3127.5,2.8614262802,
3127.0,3.0064014281,
3126.5,2.8918145176,
3126.0,2.7685801422,
3125.5,2.9636911930,
3125.0,3.0927138992,
3124.5,3.2341844208,
3124.0,3.3723420452,
3123.5,3.1953642265,
3123.0,99.0000000000,
3122.5,3.1321915340,
3122.0,2.9090083683,
3121.5,3.7114842285,
3121.0,3.3674606175,
3120.5,3.5214164244,
3120.0,4.0698287256,
3119.5,3.1031421617,
3119.0,3.3700268820,
3118.5,3.8630773636,
3118.0,3.1130586917,
3117.5,3.0451641195,
3117.0,3.0030106858,
3116.5,3.2630781213,
3116.0,99.0000000000,
3115.5,3.3656163647,
3115.0,2.8929350360,
3114.5,3.2947771950,
3114.0,4.5184659722,
3113.5,3.2578064214,
3113.0,3.0583415186,
3112.5,3.2461744521,
3112.0,99.0000000000,
3111.5,4.0281660100,
3111.0,3.2180689435,
3110.5,3.4029178753,
3110.0,3.1521518866,
3109.5,3.2340934940,
3109.0,3.1640293726,
3108.5,3.0430013642,
3108.0,3.1596667042,
3107.5,3.1586199836,
3107.0,3.8623994401,
3106.5,3.1207155311,
3106.0,2.9553152177,
3105.5,3.0770033511,
3105.0,3.4945646919,
3104.5,3.9906093606,
3104.0,3.0377530068,
3103.5,3.1222343936,
3103.0,3.1704566870,
3102.5,3.1675522141,
3102.0,3.1207011755,
3101.5,3.1545811369,
3101.0,3.1128256863,
3100.5,3.5767311763,
3100.0,3.8784998467,
3099.5,3.4878603600,
3099.0,4.3282986221,
3098.5,3.3240138290,
3098.0,3.2809342579,
3097.5,3.8339068686,
3097.0,3.1661982158,
3096.5,3.9771648702,
3096.0,3.5671638821,
3095.5,3.9382953215,
3095.0,99.0000000000,
3094.5,99.0000000000,
3094.0,4.1129263675,
3093.5,3.2222416757,
3093.0,3.2073790055,
3092.5,3.4010771332,
3092.0,3.0883767266,
3091.5,3.0578348180,
3091.0,3.1728129840,
3090.5,2.9984180421,
3090.0,3.1196039484,
3089.5,3.0181828813,
3089.0,3.0602353588,
3088.5,3.1607552608,
3088.0,3.0430636022,
3087.5,3.1905044259,
3087.0,3.2770960893,
3086.5,3.7899155967,
3086.0,2.9320888258,
3085.5,3.1439460390,
3085.0,3.1139461965,
3084.5,3.3048491224,
3084.0,3.2352507780,
3083.5,2.9108085367,
3083.0,3.7474020318,
3082.5,3.3612479586,
3082.0,3.1992219695,
3081.5,3.4709019928,
3081.0,3.8079206911,
3080.5,3.4532184925,
3080.0,3.1375617155,
3079.5,3.0592057780,
3079.0,3.2558373644,
3078.5,3.1165016175,
3078.0,3.0858607888,
3077.5,3.9620150227,
3077.0,2.9576760977,
3076.5,3.2154085907,
3076.0,3.2108535489,
3075.5,3.5064485719,
3075.0,3.5371729045,
3074.5,3.2330648893,
3074.0,3.5962844733,
3073.5,3.4783807263,
3073.0,3.3024305404,
3072.5,3.2476122254,
3072.0,3.2313394163,
3071.5,3.4317645586,
3071.0,3.7077528796,
3070.5,99.0000000000,
3070.0,3.1491810092,
3069.5,3.2614071609,
3069.0,3.3906217343,
3068.5,3.5295233187,
3068.0,3.0542623887,
3067.5,3.5680542703,
3067.0,3.2501076432,
3066.5,3.1902514219,
3066.0,3.0843187113,
3065.5,3.5768942676,
3065.0,3.2299983656,
3064.5,3.7872503680,
3064.0,3.4275767477,
3063.5,3.2689421579,
3063.0,3.4895711913,
3062.5,3.2603245404,
3062.0,3.4907829636,
3061.5,3.6182955334,
3061.0,3.2417214613,
3060.5,3.3063003503,
3060.0,3.4079830868,
3059.5,3.3597596978,
3059.0,3.0693057381,
3058.5,3.2739892769,
3058.0,3.5450007597,
3057.5,3.3001886370,
3057.0,3.6190910009,
3056.5,3.8974120580,
3056.0,3.3467117951,
3055.5,3.3051586255,
3055.0,3.6425835291,
3054.5,3.4922256669,
3054.0,3.4148175942,
3053.5,3.5837138274,
3053.0,3.2790116102,
3052.5,3.1785918226,
3052.0,3.6705815840,
3051.5,3.6137239630,
3051.0,3.2151050286,
3050.5,3.2187044807,
3050.0,3.1951448881,
3049.5,3.5311149171,
3049.0,3.0057918258,
3048.5,3.6406384414,
3048.0,3.0924611272,
3047.5,3.1293408170,
3047.0,3.8616210650,
3046.5,3.3526773489,
3046.0,3.5476130461,
3045.5,3.2372572822,
3045.0,3.1225998463,
3044.5,3.3047846567,
3044.0,3.3637607685,
3043.5,3.3835455407,
3043.0,3.7645942601,
3042.5,3.2233707948,
3042.0,3.3964852395,
3041.5,3.3479019224,
3041.0,3.1654247292,
3040.5,3.7338788794,
3040.0,3.4113804299,
3039.5,3.1903217808,
3039.0,3.2157388989,
3038.5,3.2563178890,
3038.0,3.3549859469,
3037.5,3.1863349246,
3037.0,3.2647844379,
3036.5,3.5737163110,
3036.0,3.5054285489,
3035.5,3.7729754725,
3035.0,3.2825367025,
3034.5,3.2267119793,
3034.0,3.2301443116,
3033.5,3.1390353929,
3033.0,3.4562454721,
3032.5,3.3259460509,
3032.0,3.2471101078,
3031.5,3.1762841620,
3031.0,3.1990340357,
3030.5,3.0747996252,
3030.0,3.1238658642,
3029.5,3.3132783901,
3029.0,3.2695098677,
3028.5,3.1791114428,
3028.0,3.1017488792,
3027.5,3.2833145654,
3027.0,3.2960542938,
3026.5,3.1050134866,
3026.0,3.2512420047,
3025.5,3.0185786742,
3025.0,3.2689871494,
3024.5,3.2172976141,
3024.0,3.1284848665,
3023.5,3.1373344112,
3023.0,3.1880565238,
3022.5,3.1841899937,
3022.0,3.1953336829,
3021.5,3.1693927004,
3021.0,3.1961086416,
3020.5,3.1747148465,
3020.0,3.2860499074,
3019.5,3.0909848010,
3019.0,3.3439568790,
3018.5,3.1236541316,
3018.0,3.1971249709,
3017.5,3.1727246470,
3017.0,3.1056445602,
3016.5,3.1889441109,
3016.0,3.1338177146,
3015.5,3.1070828778,
3015.0,3.0024051379,
3014.5,3.1168476659,
3014.0,3.0474685585,
3013.5,3.1728491139,
3013.0,2.9833145713,
3012.5,3.0332501575,
3012.0,3.1633196333,
3011.5,3.1151027130,
3011.0,3.0369457226,
3010.5,3.0434811340,
3010.0,3.0518976839,
3009.5,3.0623368318,
3009.0,3.0126343161,
3008.5,3.0546857312,
3008.0,3.0195789276,
3007.5,2.9444792992,
3007.0,3.0342712342,
3006.5,3.0395684418,
3006.0,3.0593161895,
3005.5,3.0129668033,
3005.0,2.9918062395,
3004.5,2.9859699844,
3004.0,3.0038729588,
3003.5,2.9395459983,
3003.0,2.9767924846,
3002.5,2.9874865959,
3002.0,2.9584769951,
3001.5,2.9392382294,
3001.0,2.9562733030,
3000.5,2.9254291174,
3000.0,2.9410236560,
2999.5,2.9434952027,
2999.0,2.8849828782,
2998.5,2.9290334637,
2998.0,2.8408260230,
2997.5,2.8947551088,
2997.0,2.8453057276,
2996.5,2.9315449958,
2996.0,2.8880020636,
2995.5,2.8950722928,
2995.0,2.8740463225,
2994.5,2.8707357097,
2994.0,2.8440781923,
2993.5,2.8701148484,
2993.0,2.8888279678,
2992.5,2.8317036252,
2992.0,2.8611592917,
2991.5,2.7915613837,
2991.0,2.8208884779,
2990.5,2.8363595100,
2990.0,2.8051486601,
2989.5,2.7795548790,
2989.0,2.7531508239,
2988.5,2.7343787314,
2988.0,2.7591121470,
2987.5,2.7624193258,
2987.0,2.7328429233,
2986.5,2.7632288727,
2986.0,2.7278054968,
2985.5,2.7838201765,
2985.0,2.7488766216,
2984.5,2.7449332479,
2984.0,2.7103596143,
2983.5,2.7277243826,
2983.0,2.6865281285,
2982.5,2.6761793917,
2982.0,2.6706118042,
2981.5,2.6557439988,
2981.0,2.6623488952,
2980.5,2.6582153202,
2980.0,2.6526853199,
2979.5,2.6544586967,
2979.0,2.6230040293,
2978.5,2.6096548712,
2978.0,2.6002089016,
2977.5,2.5798423099,
2977.0,2.5765556056,
2976.5,2.5890045370,
2976.0,2.5905842002,
2975.5,2.5763363653,
2975.0,2.5618561470,
2974.5,2.5633894597,
2974.0,2.5402340079,
2973.5,2.5465516885,
2973.0,2.5320280465,
2972.5,2.5149809467,
2972.0,2.5108508333,
2971.5,2.4910459714,
2971.0,2.4835398442,
2970.5,2.4855689582,
2970.0,2.4694022087,
2969.5,2.4531379631,
2969.0,2.4638988136,
2968.5,2.4724503986,
2968.0,2.4525985097,
2967.5,2.4283967422,
2967.0,2.4263538446,
2966.5,2.4370412662,
2966.0,2.4142961556,
2965.5,2.4055931821,
2965.0,2.3812749449,
2964.5,2.3891684478,
2964.0,2.3671165627,
2963.5,2.3614844390,
2963.0,2.3757999315,
2962.5,2.3516129184,
2962.0,2.3566649465,
2961.5,2.3494700160,
2961.0,2.3212882537,
2960.5,2.3246095413,
2960.0,2.3075532368,
2959.5,2.3081874130,
2959.0,2.2992098897,
2958.5,2.2983397846,
2958.0,2.2852538601,
2957.5,2.2769610161,
2957.0,2.2842634295,
2956.5,2.2635696677,
