IOH-SAI-02-Abs-Scan_200-790_DRA-Et-05-11-20,,
Wavelength (nm),Abs,
790,0.4265582561,
789,0.4246662855,
788,0.4251183867,
787,0.4271243811,
786,0.4255000651,
785,0.4227462411,
784,0.4256598651,
783,0.4253761768,
782,0.4238480926,
781,0.4270119667,
780,0.4279533923,
779,0.4258757532,
778,0.4280997813,
777,0.4257538617,
776,0.4265241027,
775,0.4258222878,
774,0.4271577597,
773,0.4254136086,
772,0.4269882441,
771,0.4262541234,
770,0.426415503,
769,0.4255717099,
768,0.4273567498,
767,0.4268947244,
766,0.426892221,
765,0.4261041582,
764,0.4261907041,
763,0.4291619062,
762,0.4277295172,
761,0.4283728898,
760,0.4277899265,
759,0.4277990162,
758,0.4269315004,
757,0.4292017519,
756,0.4286732078,
755,0.4282905459,
754,0.4275842309,
753,0.4279625118,
752,0.4289102256,
751,0.427333504,
750,0.4278581142,
749,0.4283947647,
748,0.4281210303,
747,0.4295215011,
746,0.4284259975,
745,0.429320842,
744,0.4300670028,
743,0.42860201,
742,0.4303750098,
741,0.4306392968,
740,0.4301474392,
739,0.4305751026,
738,0.4304858148,
737,0.4312672019,
736,0.4311410487,
735,0.4313732386,
734,0.4310732186,
733,0.43191728,
732,0.4321215153,
731,0.4323291779,
730,0.4324828982,
729,0.4333663881,
728,0.4333447218,
727,0.433714211,
726,0.4332110286,
725,0.4342370629,
724,0.4339856207,
723,0.434491992,
722,0.4341522157,
721,0.435103476,
720,0.4355320632,
719,0.4360981584,
718,0.4367088377,
717,0.4365718365,
716,0.4354408979,
715,0.4365070462,
714,0.4364448488,
713,0.4378329217,
712,0.4374335706,
711,0.4381943345,
710,0.4381165504,
709,0.4386256039,
708,0.438913852,
707,0.4394744337,
706,0.440184474,
705,0.4413014948,
704,0.4406671226,
703,0.4412504137,
702,0.4417769909,
701,0.4419158399,
700,0.4424766898,
699,0.442573905,
698,0.4424516261,
697,0.4433811009,
696,0.4429457486,
695,0.4426545501,
694,0.4432349205,
693,0.443354845,
692,0.4420918524,
691,0.4418221116,
690,0.441596806,
689,0.441311568,
688,0.4403794706,
687,0.4405755699,
686,0.4413314164,
685,0.4402018487,
684,0.4400602579,
683,0.4392822087,
682,0.4387472868,
681,0.4396188855,
680,0.4392022192,
679,0.438901037,
678,0.4391046464,
677,0.4391308129,
676,0.4386028051,
675,0.4383545816,
674,0.43801561,
673,0.4386116564,
672,0.4379686117,
671,0.4385087788,
670,0.43907848,
669,0.4386746585,
668,0.438298285,
667,0.4389749765,
666,0.439062506,
665,0.4384403825,
664,0.4384433329,
663,0.439175874,
662,0.4388956428,
661,0.4389901161,
660,0.4389724731,
659,0.4387428463,
658,0.4388812482,
657,0.438572228,
656,0.4385274053,
655,0.4387502372,
654,0.4395539165,
653,0.4386894405,
652,0.4385925531,
651,0.4390683174,
650,0.4389317036,
649,0.4384171069,
648,0.4389353991,
647,0.4389226139,
646,0.4389622509,
645,0.4389104545,
644,0.4390734136,
643,0.4384952784,
642,0.4384408593,
641,0.4386653602,
640,0.4390728474,
639,0.438449055,
638,0.4383916855,
