IOH-SAI-02-F(R)-Scan_200-790_DRA-Et-09-11-20,,
Wavelength (nm),F(R),
790,0.2140913159,
789,0.2116733044,
788,0.2141130269,
787,0.2139352858,
786,0.2131641656,
785,0.2128820419,
784,0.2121729851,
783,0.2136720121,
782,0.2132765204,
781,0.2145972252,
780,0.2126656026,
779,0.215320617,
778,0.2152087539,
777,0.2139814943,
776,0.2127489895,
775,0.2152736187,
774,0.2136371732,
773,0.2115446031,
772,0.2124590278,
771,0.2185951173,
770,0.2160688341,
769,0.2153694183,
768,0.2158782333,
767,0.2177739739,
766,0.2155887783,
765,0.2152272612,
764,0.2168173343,
763,0.2162681073,
762,0.216072306,
761,0.2164496332,
760,0.2149899602,
759,0.2170864046,
758,0.2192574888,
757,0.2160889953,
756,0.2172389477,
755,0.215196982,
754,0.216548562,
753,0.2177493423,
752,0.2166266292,
751,0.2175486684,
750,0.2166946232,
749,0.2176691741,
748,0.2198982686,
747,0.2200728208,
746,0.2193081081,
745,0.2180820554,
744,0.2210311741,
743,0.2201279104,
742,0.2206201255,
741,0.2203204781,
740,0.2195049971,
739,0.2193105817,
738,0.2200852185,
737,0.2237143517,
736,0.2214850187,
735,0.2225030065,
734,0.2224823534,
733,0.2231108844,
732,0.223528862,
731,0.223761633,
730,0.2237205952,
729,0.2239017487,
728,0.2230192274,
727,0.2258829623,
726,0.2249300182,
725,0.2257640809,
724,0.2256100327,
723,0.2264386714,
722,0.2276005,
721,0.2271534652,
720,0.2289984822,
719,0.2280036062,
718,0.2283010781,
717,0.2289658785,
716,0.2295982689,
715,0.2308298796,
714,0.2314002812,
713,0.2301833928,
712,0.2315706313,
711,0.2318563461,
710,0.232806012,
709,0.23360762,
708,0.2331498861,
707,0.2344430685,
706,0.2349647284,
705,0.2358679473,
704,0.2351850569,
703,0.2379606068,
702,0.2379779071,
701,0.2375549674,
700,0.2382513434,
699,0.2401056439,
698,0.2400754541,
697,0.2400397509,
696,0.2397369295,
695,0.2394210994,
694,0.238545388,
693,0.2390328646,
692,0.2380010188,
691,0.2382554561,
690,0.2370826006,
689,0.2369235456,
688,0.236620605,
687,0.2356712371,
686,0.2365513742,
685,0.2354258299,
684,0.2351519316,
683,0.2343667895,
682,0.233924374,
681,0.2330599427,
680,0.2328490913,
679,0.2327720076,
678,0.2333548367,
677,0.2333323807,
676,0.2326491326,
675,0.232939288,
674,0.2326104492,
673,0.23297894,
672,0.2329439968,
671,0.2326182574,
670,0.2326302528,
669,0.2329560965,
668,0.2333079875,
667,0.2325875461,
666,0.2337000221,
665,0.2327299565,
664,0.233537063,
663,0.2325347811,
662,0.2326346934,
661,0.2329623848,
660,0.2331800759,
659,0.2334610373,
658,0.2335024625,
657,0.2331863791,
656,0.2338867635,
655,0.2338510305,
654,0.2332030237,
653,0.2333654463,
652,0.2336515784,
651,0.2344273627,
650,0.2334638983,
649,0.233631447,
648,0.233557269,
647,0.2334130704,
646,0.2339340597,
645,0.2342331409,
644,0.2334197164,
643,0.2330196053,
642,0.2333123535,
641,0.2335603833,
640,0.2337273955,
639,0.2333653569,
638,0.2334003597,
637,0.2334703803,
636,0.233283177,
635,0.2335985303,
634,0.2338009626,
633,0.2336811423,
632,0.2335387468,
631,0.2345065176,
630,0.2341780216,
629,0.2342138141,
628,0.2342625111,
627,0.234872058,
626,0.2346465737,
625,0.2344504148,
624,0.2351006866,
623,0.2348234057,
622,0.2358470559,
621,0.2361048311,
620,0.2361197025,
619,0.2368498892,
618,0.2374914736,
617,0.2380730212,
616,0.2383892387,
615,0.2381101847,
614,0.2393644005,
613,0.2393069416,
612,0.2410527021,
611,0.24097386,
610,0.2412200868,
609,0.2411905527,
608,0.2428922057,
607,0.2434087098,
606,0.2434520274,
605,0.244014293,
604,0.2442620546,
603,0.2445583344,
602,0.2457749248,
601,0.2458166629,
600,0.2459693551,
599,0.2461700886,
598,0.2472193241,
597,0.2474245131,
596,0.2480780929,
595,0.2469462752,
594,0.2474567592,
593,0.2483217567,
592,0.2484835535,
591,0.2480807453,
590,0.2478890121,
589,0.2474644631,
588,0.2480977178,
587,0.248057574,
586,0.2483191788,
585,0.2477341294,
584,0.2479574382,
583,0.2488001287,
582,0.2490647584,
581,0.249466747,
580,0.2490876615,
579,0.250203371,
578,0.2513881922,
577,0.2514728904,
576,0.2517818213,
575,0.2527481318,
574,0.2537264824,
573,0.2547923326,
572,0.2550790608,
571,0.2548562586,
570,0.2567441463,
569,0.2573031783,
568,0.2573084533,
567,0.2585996091,
566,0.2592594326,
565,0.2599690855,
564,0.2607431114,
563,0.2607863247,
562,0.2622086406,
561,0.2618473172,
560,0.2622496486,
559,0.2637870312,
558,0.2640987933,
557,0.2644713223,
556,0.2649509311,
555,0.266285181,
554,0.2658374012,
553,0.2666667402,
552,0.2671598196,
551,0.2694574893,
550,0.2680033445,
549,0.2702378631,
548,0.2695323229,
547,0.2701364458,
546,0.270796895,
545,0.2729136944,
544,0.2724014223,
543,0.2714477181,
542,0.2732188702,
541,0.2741506398,
540,0.2741155922,
539,0.2734690309,
538,0.2744308412,
537,0.2753837109,
536,0.2758213282,
535,0.2766535282,
534,0.2768651843,
533,0.2770144343,
532,0.2780347168,
531,0.2783173919,
530,0.2794686556,
529,0.2793637514,
528,0.2791829109,
527,0.2805684507,
526,0.2806029022,
525,0.2810890079,
524,0.2818160355,
523,0.2827785909,
522,0.2830269039,
521,0.2841993868,
520,0.2854936123,
519,0.2842162251,
518,0.2856935561,
517,0.2864734232,
516,0.288605243,
515,0.2881658375,
514,0.2883346677,
513,0.2889906168,
512,0.2896294594,
511,0.2910840213,
510,0.2919653952,
509,0.2925697863,
508,0.2925629914,
507,0.2934055328,
506,0.2944914103,
505,0.2944419384,
504,0.295104444,
503,0.2959560454,
502,0.2973131537,
501,0.297765255,
500,0.2986335158,
499,0.2997282743,
498,0.299715519,
497,0.3005327582,
496,0.3009123206,
495,0.3016015589,
494,0.3031167388,
493,0.3031302094,
492,0.3029539287,
491,0.3043403625,
490,0.3049230576,
489,0.3040300608,
488,0.3058539033,
487,0.3061198294,
486,0.3054389656,
485,0.3058283627,
484,0.3073542416,
483,0.3066960573,
482,0.3074342608,
481,0.3084015846,
480,0.3085945845,
479,0.3087977469,
478,0.3098381162,
477,0.3086832762,
476,0.3110037446,
475,0.3096974194,
474,0.3095797598,
473,0.3101279438,
472,0.3104854822,
471,0.3105805218,
470,0.311224699,
469,0.3107652962,
468,0.3119747043,
467,0.3110821843,
466,0.3123307824,
465,0.3130097091,
464,0.3125920594,
463,0.3130825758,
462,0.3131340742,
461,0.3139833808,
460,0.3136798143,
459,0.3152093291,
458,0.3144140244,
457,0.3152675927,
456,0.3150439858,
455,0.3148951828,
454,0.3156033754,
453,0.3159464002,
452,0.3167524636,
451,0.317176491,
450,0.3176358044,
449,0.3189331889,
448,0.3187335432,
447,0.3184121549,
446,0.3197921515,
445,0.3197914958,
444,0.3210769594,
443,0.3213222921,
442,0.3211624324,
441,0.322039187,
440,0.3217425346,
439,0.3225243092,
438,0.3224436045,
437,0.3247870803,
436,0.3245466352,
435,0.325394243,
434,0.3255238533,
433,0.3283711374,
432,0.3268989623,
431,0.3278072774,
430,0.3285963237,
429,0.3301132321,
428,0.3312363625,
427,0.3302930295,
426,0.333340615,
425,0.3323673308,
424,0.3341694474,
423,0.33572644,
422,0.3356505334,
421,0.3379810154,
420,0.3377949297,
419,0.3387680054,
418,0.339849174,
417,0.3430252969,
416,0.3442616463,
415,0.344050169,
414,0.3448160589,
413,0.3446554244,
412,0.3480969369,
411,0.3489985168,
410,0.3486646116,
409,0.3507738113,
408,0.3517103493,
407,0.3528161645,
406,0.3537881076,
405,0.3544081151,
404,0.3585455418,
403,0.3572664559,
402,0.3602015972,
401,0.3610138595,
400,0.3628472984,
399,0.3641706705,
398,0.3651257753,
397,0.3704426289,
396,0.3700490296,
395,0.3720976114,
394,0.3753366768,
393,0.3737411499,
392,0.3782438636,
391,0.3781795502,
390,0.3822735846,
389,0.3852525651,
388,0.3869372904,
387,0.3896704614,
386,0.3912622929,
385,0.3951876462,
384,0.3983535171,
383,0.4005798995,
382,0.4035589993,
381,0.4094664454,
380,0.4111089706,
379,0.4158815145,
378,0.4215216935,
377,0.4246142805,
376,0.4288422465,
375,0.433106631,
374,0.4373937547,
373,0.4470219612,
372,0.4520725608,
371,0.4578553438,
370,0.4683692157,
369,0.4745515287,
368,0.4839092791,
367,0.4931899905,
366,0.5069562793,
365,0.5180748105,
364,0.5305469632,
363,0.5398570895,
362,0.5561323166,
361,0.5730711818,
360,0.5867650509,
359,0.6005244851,
358,0.6163671613,
357,0.634491086,
356,0.6466130018,
355,0.6661200523,
354,0.6829677224,
353,0.6971819401,
352,0.709839344,
351,0.7263495922,
350,0.7397194505,
349,0.6984750628,
348,0.7136443257,
347,0.7328014374,
346,0.7398981452,
345,0.7563602924,
344,0.7695940137,
343,0.7803402543,
342,0.7947393656,
341,0.8219506145,
340,0.8247273564,
339,0.8371219635,
338,0.8570776582,
337,0.8641947508,
336,0.8810172081,
335,0.8907210827,
334,0.9001030922,
333,0.9172777534,
332,0.9414916635,
331,0.9320193529,
330,0.9480373263,
329,0.9554136992,
328,0.9578869939,
327,0.9755418301,
326,0.9930573106,
325,0.9927590489,
324,1.005914688,
323,1.006555319,
322,1.010806322,
321,1.004878044,
320,1.019480824,
319,1.014471412,
318,1.016878366,
317,1.011275053,
316,1.016276598,
