IOH-SAI-02-R-Scan_200-790_DRA-Et-09-11-20,,
Wavelength (nm),%R,
790,52.62247849,
789,52.59090805,
788,52.55041885,
787,52.77294922,
786,52.59064484,
785,52.88773727,
784,52.75273895,
783,52.73279572,
782,52.71656036,
781,52.68235016,
780,52.63384628,
779,52.6256218,
778,52.48879242,
777,52.60626602,
776,52.75030136,
775,52.54264069,
774,52.47986221,
773,52.63085175,
772,52.54788208,
771,52.41364288,
770,52.51697159,
769,52.49982452,
768,52.52946472,
767,52.33830261,
766,52.41864395,
765,52.35871124,
764,52.52523422,
763,52.37941742,
762,52.5976181,
761,52.46368027,
760,52.33535767,
759,52.47353363,
758,52.22890854,
757,52.28508759,
756,52.5266304,
755,52.30280304,
754,52.38188934,
753,52.33934021,
752,52.36061859,
751,52.38312912,
750,52.34300613,
749,52.32184982,
748,52.28966522,
747,52.09160995,
746,52.17076492,
745,52.17546082,
744,52.21474075,
743,52.07188034,
742,52.07070541,
741,52.1471138,
740,52.18918228,
739,52.10557556,
738,52.07176208,
737,51.9746666,
736,52.02054214,
735,51.99925232,
734,52.00069427,
733,52.00003433,
732,51.96723175,
731,51.90026093,
730,51.89055252,
729,51.76876068,
728,51.80370331,
727,51.82141113,
726,51.73083496,
725,51.69633102,
724,51.58391571,
723,51.71984482,
722,51.49379349,
721,51.60061646,
720,51.54404068,
719,51.66605759,
718,51.45096588,
717,51.38510895,
716,51.40736771,
715,51.43450546,
714,51.30289841,
713,51.35295486,
712,51.24611664,
711,51.32538223,
710,51.14262009,
709,51.18554306,
708,51.15275574,
707,51.10581589,
706,51.02658081,
705,50.9848671,
704,51.04307556,
703,50.82346344,
702,50.78512573,
701,50.78791428,
700,50.81893158,
699,50.77338791,
698,50.65814209,
697,50.69691086,
696,50.69449615,
695,50.73739243,
694,50.73522186,
693,50.74671936,
692,50.78058243,
691,50.75445938,
690,50.8695488,
689,50.87837982,
688,50.9682045,
687,50.93360519,
686,50.96027374,
685,51.01584244,
684,51.04777908,
683,51.02131271,
682,51.13044357,
681,51.08013916,
680,51.1482048,
679,51.1659317,
678,51.09617233,
677,51.13996887,
676,51.11738586,
675,51.17811584,
674,51.18981171,
673,51.15555573,
672,51.16116333,
671,51.20285797,
670,51.16479492,
669,51.07694244,
668,51.15965652,
667,51.16453171,
666,51.12640762,
665,51.17204285,
664,51.12528992,
663,51.16446686,
662,51.18883896,
661,51.17768097,
660,51.11418533,
659,51.14040375,
658,51.15805435,
657,51.12257767,
656,51.09555054,
655,51.13682556,
654,51.10453415,
653,51.1372757,
652,51.11422729,
651,51.11203766,
650,51.13133621,
649,51.13534164,
648,51.16599655,
647,51.14176941,
646,51.14365387,
645,51.11245346,
644,51.14454651,
643,51.12516403,
642,51.16767883,
641,51.16473007,
640,51.09775162,
639,51.15414429,
638,51.15030289,
637,51.09635544,
636,51.11613464,
635,51.11806488,
634,51.14256668,
633,51.10031891,
632,51.12360764,
631,51.08917236,
630,51.10057449,
629,51.10297394,
628,51.09299469,
627,51.04766083,
626,51.05335617,
625,51.0508461,
624,51.04210281,
623,51.00947571,
622,50.98796463,
621,50.94073486,
620,50.91413879,
619,50.88032532,
618,50.85398102,
617,50.84137726,
616,50.83819199,
615,50.82596588,
614,50.77535629,
613,50.76210403,
612,50.62508392,
611,50.66928864,
610,50.60871887,
609,50.62084961,
608,50.50541306,
607,50.4944191,
606,50.50165176,
605,50.42380142,
604,50.36985397,
603,50.35703659,
602,50.30880737,
601,50.32554245,
600,50.27128601,
599,50.23615265,
598,50.18412018,
597,50.18688965,
596,50.16818237,
595,50.18673706,
594,50.13365936,
593,50.10627365,
592,50.11252213,
591,50.13078308,
590,50.1848526,
589,50.16937256,
588,50.11471939,
587,50.12513351,
586,50.16424561,
585,50.18019104,
584,50.11408234,
583,50.10603714,
582,50.05066299,
581,50.06348038,
580,50.07336044,
579,49.93657303,
578,49.89009094,
577,49.91806793,
576,49.91403961,
575,49.82067108,
574,49.78918076,
573,49.77699661,
572,49.67958069,
571,49.6803894,
570,49.55273056,
569,49.55404282,
568,49.47576523,
567,49.45933533,
566,49.45268631,
565,49.31487274,
564,49.33457184,
563,49.30953217,
562,49.19776917,
561,49.24789047,
560,49.16761398,
559,49.13134766,
558,49.12198639,
557,49.0443306,
556,49.06741714,
555,48.95695496,
554,48.96239853,
553,48.89727402,
552,48.87055588,
551,48.81355286,
550,48.81509018,
549,48.716362,
548,48.71673203,
547,48.66651917,
546,48.64677811,
545,48.60339355,
544,48.5711174,
543,48.56057358,
542,48.61903381,
541,48.54553223,
540,48.48407745,
539,48.41487503,
538,48.45347595,
537,48.36869431,
536,48.39406967,
535,48.29037857,
534,48.30998611,
533,48.30426025,
532,48.23193741,
531,48.18851471,
530,48.1362381,
529,48.07520294,
528,48.15364456,
527,48.07423019,
526,48.08231735,
525,47.97059631,
524,48.02325821,
523,47.97206879,
522,47.91228867,
521,47.84395981,
520,47.81562805,
519,47.82451248,
518,47.75934982,
517,47.72948456,
516,47.63921738,
515,47.61616135,
514,47.54539871,
513,47.57598114,
512,47.50919724,
511,47.50477219,
510,47.35733032,
509,47.36274719,
508,47.35594177,
507,47.30234909,
506,47.29371262,
505,47.23601532,
504,47.23527145,
503,47.17579269,
502,47.08040619,
501,47.04758453,
500,46.98798752,
499,46.97579193,
498,46.99612427,
497,46.88645554,
496,46.87311172,
495,46.82868576,
494,46.75121689,
493,46.79325867,
492,46.75505066,
491,46.7118454,
490,46.67023087,
489,46.65391159,
488,46.63386536,
487,46.60622406,
486,46.55121994,
485,46.55244827,
484,46.52618408,
483,46.49819183,
482,46.50914383,
481,46.49477768,
480,46.43806458,
479,46.40696716,
478,46.43602753,
477,46.43600464,
476,46.32701111,
475,46.34120941,
474,46.35383224,
473,46.34050369,
472,46.39152145,
471,46.34394836,
470,46.2936821,
469,46.32724762,
468,46.31274796,
467,46.34923172,
466,46.27877808,
465,46.23861313,
464,46.22420502,
463,46.2336998,
462,46.25601959,
461,46.19706726,
460,46.20194626,
459,46.12776947,
458,46.10889053,
457,46.03675461,
456,46.08039474,
455,46.05717468,
454,46.00637436,
453,46.0397377,
452,45.98741531,
451,46.00161362,
450,45.94467926,
449,45.9357605,
448,45.90869141,
447,45.88903046,
446,45.92725754,
445,45.86163712,
444,45.7738533,
443,45.88747025,
442,45.78464508,
441,45.7268219,
440,45.74956512,
439,45.676651,
438,45.61603546,
