Baseline 100%T,,
Wavenumber (cm-1),%T,
3333.3,112.5838999178,
3333.3,112.5838999178,
3333.9,112.5341656029,
3333.9,112.5341656029,
3334.4,112.5178339916,
3334.4,112.5178339916,
3335.0,112.4488706620,
3335.0,112.4488706620,
3335.6,112.4338630544,
3335.6,112.4338630544,
3336.1,112.4871732558,
3336.1,112.4871732558,
3336.7,112.4961133390,
3336.7,112.4961133390,
3337.2,112.5185607549,
3337.2,112.5185607549,
3337.8,112.5552534894,
3337.8,112.5552534894,
3338.3,112.4780177658,
3338.3,112.4780177658,
3338.9,112.5008697699,
3338.9,112.5008697699,
3339.5,112.4407888726,
3339.5,112.4407888726,
3340.0,112.4165537428,
3340.0,112.4165537428,
3340.6,112.5022526370,
3340.6,112.5022526370,
3341.1,112.4958161288,
3341.1,112.4958161288,
3341.7,112.4989156429,
3341.7,112.4989156429,
3342.2,112.4916909722,
3342.2,112.4916909722,
3342.8,112.4282598261,
3342.8,112.4282598261,
3343.4,112.4231457972,
3343.4,112.4231457972,
3343.9,112.4286648688,
3343.9,112.4286648688,
3344.5,112.4419809943,
3344.5,112.4419809943,
3345.0,112.5255699763,
3345.0,112.5255699763,
3345.6,112.5228519445,
3345.6,112.5228519445,
3346.2,112.4948617817,
3346.2,112.4948617817,
3346.7,112.4977943260,
3346.7,112.4977943260,
3347.3,112.4051217440,
3347.3,112.4051217440,
3347.8,112.4247794083,
3347.8,112.4247794083,
3348.4,112.4664897986,
3348.4,112.4664897986,
3349.0,112.4705908764,
3349.0,112.4705908764,
3349.5,112.6224871186,
3349.5,112.6224871186,
3350.1,112.6225943513,
3350.1,112.6225943513,
3350.6,112.5602962843,
3350.6,112.5602962843,
3351.2,112.5307793974,
3351.2,112.5307793974,
3351.8,112.5047443505,
3351.8,112.5047443505,
3352.3,112.4891165669,
3352.3,112.4891165669,
3352.9,112.5310544992,
3352.9,112.5310544992,
3353.5,112.5425939121,
3353.5,112.5425939121,
3354.0,112.6299385330,
3354.0,112.6299385330,
3354.6,112.5898595440,
3354.6,112.5898595440,
3355.1,112.5175714694,
3355.1,112.5175714694,
3355.7,112.5256780805,
3355.7,112.5256780805,
3356.3,112.5008697699,
3356.3,112.5008697699,
3356.8,112.4741672612,
3356.8,112.4741672612,
3357.4,112.5946759591,
3357.4,112.5946759591,
3358.0,112.5698688519,
3358.0,112.5698688519,
3358.5,112.5816469091,
3358.5,112.5816469091,
3359.1,112.5051622147,
3359.1,112.5051622147,
3359.7,112.4041913048,
3359.7,112.4041913048,
3360.2,112.4398349923,
3360.2,112.4398349923,
3360.8,112.4686237675,
3360.8,112.4686237675,
3361.3,112.4800438930,
3361.3,112.4800438930,
3361.9,112.5558617403,
3361.9,112.5558617403,
3362.5,112.5657911905,
3362.5,112.5657911905,
3363.0,112.5164509329,
3363.0,112.5164509329,
3363.6,112.4723081453,
3363.6,112.4723081453,
3364.2,112.4024152997,
3364.2,112.4024152997,
3364.7,112.4362114776,
3364.7,112.4362114776,
3365.3,112.4693270610,
3365.3,112.4693270610,
3365.9,112.4973176261,
3365.9,112.4973176261,
3366.4,112.5306606699,
3366.4,112.5306606699,
3367.0,112.4959232409,
3367.0,112.4959232409,
3367.6,112.4312523569,
3367.6,112.4312523569,
