V2O5-AM-02-Abs-Scan_8300-20000_cm-1_2x5mm_Vozduh-10-06-16,,
Wavenumber (cm-1),Abs,
8300,0.7550248504,
8310,0.7554837465,
8320,0.7520983219,
8330,0.7516559362,
8340,0.753149569,
8350,0.7529548407,
8360,0.7518504858,
8370,0.7504514456,
8380,0.7518491149,
8390,0.7495672107,
8400,0.7469558716,
8410,0.7458450794,
8420,0.7475132942,
8430,0.7450828552,
8440,0.7434766293,
8450,0.7430003881,
8460,0.7472251058,
8470,0.7505504489,
8480,0.7495200634,
8490,0.7451792955,
8500,0.7469987869,
8510,0.7489613891,
8520,0.7479124069,
8530,0.7443467379,
8540,0.7447155714,
8550,0.7465487719,
8560,0.7454890013,
8570,0.7422023416,
8580,0.7414646745,
8590,0.7436585426,
8600,0.744248867,
8610,0.7406781912,
8620,0.7375623584,
8630,0.7406787276,
8640,0.7435996532,
8650,0.7442842126,
8660,0.7438158393,
8670,0.746414423,
8680,0.7497497797,
8690,0.7487691641,
8700,0.7414341569,
8710,0.7389689684,
8720,0.7405875325,
8730,0.7384503484,
8740,0.7329851389,
8750,0.7340680361,
8760,0.7421634197,
8770,0.7483992577,
8780,0.7475675344,
8790,0.7475966215,
8800,0.7509614229,
8810,0.7502287626,
8820,0.7440629601,
8830,0.7368589044,
8840,0.7324545979,
8850,0.7291692495,
8860,0.7277477384,
8870,0.731359601,
8880,0.7391453981,
8890,0.7474910021,
8900,0.7508782148,
8910,0.7510362267,
8920,0.7515710592,
8930,0.750788033,
8940,0.7469858527,
8950,0.7392289042,
8960,0.7301098704,
8970,0.7263380885,
8980,0.7291217446,
8990,0.7321689129,
9000,0.7344899774,
9010,0.7413485646,
9020,0.7483533621,
9030,0.7493202686,
9040,0.7464472055,
9050,0.7459120154,
9060,0.7455272079,
9070,0.7404000759,
9080,0.7346570492,
9090,0.7330526114,
9100,0.7344318032,
9110,0.7354623079,
9120,0.7379008532,
9130,0.743534863,
9140,0.7460523844,
9150,0.7470564842,
9160,0.7472509742,
9170,0.7452680469,
9180,0.7441652417,
9190,0.7428682446,
9200,0.7403470278,
9210,0.7379880548,
9220,0.7392880917,
9230,0.7423395514,
9240,0.7435730696,
9250,0.7421734333,
9260,0.7419951558,
