Baseline 100%T,,
Wavelength (nm),Abs,
3000,-0.05147628859,
2999.5,-0.05128439516,
2999,-0.05122136325,
2998.5,-0.05095509812,
2998,-0.05089713261,
2997.5,-0.05110300332,
2997,-0.05113751814,
2996.5,-0.05122416839,
2996,-0.0513657704,
2995.5,-0.05106765404,
2995,-0.05115588009,
2994.5,-0.05092388391,
2994,-0.05083026737,
2993.5,-0.05116121843,
2993,-0.05113637075,
2992.5,-0.05114833638,
2992,-0.05112044513,
2991.5,-0.05087548867,
2991,-0.05085573345,
2990.5,-0.05087705329,
2990,-0.05092848837,
2989.5,-0.05125122145,
2989,-0.05124073103,
2988.5,-0.05113268644,
2988,-0.05114400759,
2987.5,-0.05078610033,
2987,-0.0508620441,
2986.5,-0.05102314055,
2986,-0.05103897676,
2985.5,-0.05162511393,
2985,-0.05162552744,
2984.5,-0.05138522759,
2984,-0.05127132684,
2983.5,-0.05117083713,
2983,-0.05111050606,
2982.5,-0.05127238855,
2982,-0.05131692067,
2981.5,-0.0516538471,
2981,-0.05149927735,
2980.5,-0.05122034997,
2980,-0.05125163868,
2979.5,-0.05115588009,
2979,-0.05105278641,
2978.5,-0.05151785538,
2978,-0.05142216012,
2977.5,-0.05146759748,
2977,-0.05117245018,
2976.5,-0.05078250542,
2976,-0.0509201996,
2975.5,-0.05103138089,
2975,-0.05107547715,
2974.5,-0.05136811733,
2974,-0.05140642822,
2973.5,-0.05121602491,
2973,-0.05104560778,
2972.5,-0.05077564344,
2972,-0.05090620369,
2971.5,-0.05103409663,
2971,-0.0511421673,
2970.5,-0.05127086863,
2970,-0.05113678426,
2969.5,-0.05088704824,
2969,-0.05086618662,
2968.5,-0.05076191574,
2968,-0.05076527968,
2967.5,-0.05108652636,
2967,-0.05105706677,
2966.5,-0.05119246617,
2966,-0.05096407607,
2965.5,-0.05076177791,
2965,-0.05073331296,
2964.5,-0.05078918487,
2964,-0.05089275539,
2963.5,-0.05118045583,
2963,-0.05102751404,
2962.5,-0.05101034418,
2962,-0.05087544397,
2961.5,-0.05066660792,
2961,-0.05088050663,
2960.5,-0.05091992393,
2960,-0.05106061324,
2959.5,-0.05134120584,
2959,-0.05108804256,
2958.5,-0.05101048201,
2958,-0.05077748746,
2957.5,-0.05074321479,
2957,-0.05097982287,
2956.5,-0.05117530003,
2956,-0.05119881406,
2955.5,-0.05120318756,
2955,-0.05094879121,
2954.5,-0.05084965378,
2954,-0.05076307058,
2953.5,-0.05084785819,
2953,-0.05116213858,
2952.5,-0.05122177675,
2952,-0.05113945156,
2951.5,-0.05110866204,
2951,-0.05093714222,
2950.5,-0.05077237263,
2950,-0.05098751187,
2949.5,-0.05112536997,
2949,-0.05139460787,
2948.5,-0.05143177137,
2948,-0.05109554529,
2947.5,-0.05096067116,
2947,-0.05084048957,
2946.5,-0.05091674626,
2946,-0.05121685192,
2945.5,-0.05126474798,
2945,-0.0514078103,
2944.5,-0.05137708411,
2944,-0.0509766005,
2943.5,-0.05092406645,
2943,-0.05094699562,
2942.5,-0.05106829852,
2942,-0.0513462685,
2941.5,-0.05126221851,
2941,-0.05115477741,
2940.5,-0.05101412162,
2940,-0.05072336271,
2939.5,-0.05081101507,
2939,-0.05096978694,
2938.5,-0.05104141682,
2938,-0.05119808018,
2937.5,-0.05108045042,
2937,-0.05086696893,
2936.5,-0.05088041723,
2936,-0.05074892938,
2935.5,-0.05099229887,
2935,-0.05128775164,
2934.5,-0.05124022812,
2934,-0.05131015554,
2933.5,-0.05110498145,
2933,-0.05082685873,
2932.5,-0.05099289864,
2932,-0.05100473017,
2931.5,-0.05122168362,
2931,-0.05141144246,
2930.5,-0.05129074305,
2930,-0.05125674233,
2929.5,-0.05099257454,
2929,-0.050867524,
2928.5,-0.05107524991,
2928,-0.0511376597,
2927.5,-0.05137878656,
2927,-0.05143135786,
2926.5,-0.05114713684,
2926,-0.05092001706,
2925.5,-0.05085904896,
2925,-0.0508489646,
2924.5,-0.05110456795,
2924,-0.05115997791,
2923.5,-0.05112394318,
2923,-0.05114741251,
2922.5,-0.05085361376,
2922,-0.05084942281,
2921.5,-0.05093732849,
2921,-0.05101471767,
2920.5,-0.05155629292,
2920,-0.05150810629,
2919.5,-0.05130803958,
2919,-0.05114819482,
2918.5,-0.0509512797,
2918,-0.05110125244,
2917.5,-0.05125067011,
2917,-0.05124404654,
2916.5,-0.05129690841,
2916,-0.05107050762,
2915.5,-0.05083385855,
2915,-0.0508463867,
2914.5,-0.0507751368,
2914,-0.05101830885,
2913.5,-0.05121174455,
2913,-0.05109324679,
2912.5,-0.05120590329,
2912,-0.05088262632,
2911.5,-0.05071286112,
2911,-0.05093226209,
2910.5,-0.05099331215,
2910,-0.0512413308,
2909.5,-0.05114727467,
2909,-0.05089363083,
2908.5,-0.05084200948,
2908,-0.05064145103,
2907.5,-0.0506503433,
2907,-0.05092484877,
2906.5,-0.05088317767,
2906,-0.05099160969,
2905.5,-0.050896395,
2905,-0.05051261187,
2904.5,-0.05050896853,
2904,-0.05045808479,
2903.5,-0.05046177283,
2903,-0.05070802197,
2902.5,-0.05055993795,
2902,-0.05045762286,
2901.5,-0.05028114468,
2901,-0.05004766211,
2900.5,-0.05019052327,
2900,-0.05041471124,
2899.5,-0.05049837008,
2899,-0.05059611425,
2898.5,-0.05047915131,
2898,-0.05037925765,
2897.5,-0.05034020916,
2897,-0.05029128864,
2896.5,-0.0505342707,
2896,-0.05071755871,
2895.5,-0.05062974989,
2895,-0.05061408132,
2894.5,-0.0503445901,
2894,-0.05020463839,
2893.5,-0.0503276214,
2893,-0.05032720789,
2892.5,-0.05041858181,
2892,-0.05045541376,
2891.5,-0.05018028617,
2891,-0.05005868897,
2890.5,-0.04984235018,
2890,-0.04982610419,
2889.5,-0.05000812188,
2889,-0.04994772002,
2888.5,-0.04993475229,
2888,-0.04989201576,
2887.5,-0.04959939793,
2887,-0.04956355691,
2886.5,-0.04956420511,
2886,-0.04971452057,
2885.5,-0.04999898747,
2885,-0.04994675145,
2884.5,-0.04986612126,
2884,-0.04980929941,
2883.5,-0.04965033755,
2883,-0.04989058524,
2882.5,-0.05001721159,
2882,-0.05007954314,
2881.5,-0.05013886467,
2881,-0.0499500744,
2880.5,-0.04978557304,
2880,-0.04978335649,
2879.5,-0.04980089888,
2879,-0.05000576749,
2878.5,-0.05000415444,
2878,-0.04987046123,
2877.5,-0.04987839982,
2877,-0.04963070899,
2876.5,-0.04947449639,
2876,-0.04959404096,
2875.5,-0.04966488108,
2875,-0.04979499057,
2874.5,-0.04964248464,
2874,-0.04924742132,
2873.5,-0.04931305349,
2873,-0.04921858013,
2872.5,-0.04925384745,
2872,-0.0494020544,
2871.5,-0.04927030206,
2871,-0.04933676124,
2870.5,-0.04921557382,
2870,-0.04901897907,
2869.5,-0.04906411469,
2869,-0.04907969758,
2868.5,-0.04922038317,
