Baseline 100%T,,
Wavelength (nm),%T,
3300,134.3642426,
3299.5,134.819046,
3299,134.2817688,
3298.5,133.8525238,
3298,134.292511,
3297.5,132.6544037,
3297,133.9201508,
3296.5,133.9120331,
3296,133.1538849,
3295.5,132.6121368,
3295,132.0133057,
3294.5,132.8314362,
3294,132.7564545,
3293.5,131.8575134,
3293,132.3234863,
3292.5,132.8771057,
3292,132.7523041,
3291.5,131.8637543,
3291,131.9139404,
3290.5,131.0467072,
3290,131.3862152,
3289.5,131.2857208,
3289,130.9691467,
3288.5,130.1809235,
3288,130.8920135,
3287.5,130.9854431,
3287,130.3911285,
3286.5,130.5218048,
3286,130.489212,
3285.5,129.836792,
3285,129.0684357,
3284.5,130.3468628,
3284,129.2154388,
3283.5,129.389267,
3283,129.7078552,
3282.5,129.2358093,
3282,128.1943512,
3281.5,127.8684616,
3281,129.1850128,
3280.5,127.7006989,
3280,128.7086792,
3279.5,128.6775055,
3279,128.2999573,
3278.5,128.6155243,
3278,128.5512085,
3277.5,127.8840179,
3277,127.9154205,
3276.5,127.6473618,
3276,127.0650482,
3275.5,127.5314484,
3275,127.5913467,
3274.5,127.4689636,
3274,127.4556885,
3273.5,127.304924,
3273,127.2229462,
3272.5,127.1814957,
3272,126.2408295,
3271.5,126.1320953,
3271,127.0155411,
3270.5,126.3694992,
3270,126.5675812,
3269.5,126.856575,
3269,126.1793137,
3268.5,126.3152847,
3268,125.6345291,
3267.5,126.0762558,
3267,126.0650177,
3266.5,125.1897583,
3266,125.8318939,
3265.5,125.7529984,
3265,125.4908066,
3264.5,125.7086029,
3264,125.2054367,
3263.5,124.9466553,
3263,125.2781601,
3262.5,124.7402878,
3262,124.8112183,
3261.5,124.9057083,
3261,124.8975601,
3260.5,124.7028122,
3260,124.539711,
3259.5,123.8686676,
3259,124.0306854,
3258.5,123.5999832,
3258,123.7287369,
3257.5,124.1171951,
3257,124.1783829,
3256.5,123.9088058,
3256,123.8971558,
3255.5,123.7103195,
3255,123.1943283,
3254.5,123.4681396,
3254,123.067215,
3253.5,123.1266174,
3253,122.7860184,
3252.5,123.2202911,
3252,123.0789185,
3251.5,123.1492996,
3251,122.5010605,
3250.5,122.2374191,
3250,122.8643417,
3249.5,122.2808456,
3249,122.2497711,
3248.5,122.2067032,
3248,122.4338303,
3247.5,122.4669571,
3247,121.9188538,
3246.5,122.0941086,
3246,121.9554291,
3245.5,121.9715347,
3245,121.5048065,
3244.5,122.212532,
